Nation,Formation 1,Formation 2,WC 2026 Squad Overview,Key Guaranteed Players,Key Likely Players,Notable Absences / Retirements
France,4-2-3-1,4-3-3,"Exceptionally deep squad. Numerous young talents competing for backup roles, while several older veterans have retired.","Kylian Mbappé, Ousmane Dembélé, William Saliba, Eduardo Camavinga","Rayan Cherki, Boubacar Kamara, Désiré Doué","Karim Benzema, Hugo Lloris, Olivier Giroud, Antoine Griezmann"
Spain,4-3-3,4-2-3-1,Balanced mix of youth and experience. Deep pool of young talent competing for rotational roles.,"Rodri, Pedri, Lamine Yamal, Nico Williams, Dani Olmo","Joan García, Oihan Sancet, Pau Cubarsí","Sergio Ramos, David De Gea, Sergio Busquets"
Argentina,4-3-3,4-4-2,"Reigning champions still built around Messi, with a strong core and emerging prospects stepping up.","Lionel Messi, Julián Álvarez, Lautaro Martínez, Enzo Fernández, Alexis Mac Allister","Nico Paz, Matías Soulé, Paulo Dybala","Mauro Icardi, Juan Brunetta, Ángel Di María"
Brazil,4-2-3-1,4-3-3,Highlights global stars and emerging talents like Endrick. Older Premier League veterans are phasing out.,"Alisson, Vinícius Júnior, Rodrygo, Gabriel, Endrick","Joelinton, Éderson, João Pedro","Casemiro, Thiago Silva, Fabinho"
England,4-2-3-1,3-4-2-1,"Heavyweight core with immense depth in attack and midfield, though older defenders are missing out.","Harry Kane, Declan Rice, Bukayo Saka, Jude Bellingham, Cole Palmer","Marcus Rashford, Morgan Rogers, Levi Colwill","Kieran Trippier, Jordan Henderson, Mason Mount"
Colombia,4-2-3-1,4-3-3,Solid core led by Luis Díaz. 'Likely' squad additions bolster the attack as older midfielders fade.,"Luis Díaz, Davinson Sánchez, Daniel Muñoz, Richard Ríos","Luis Suárez, Cucho Hernández","Wílmar Barrios, Yerry Mina"
Netherlands,4-3-3,3-4-2-1,Strong starting base led by Van Dijk. Younger Eredivisie/European talents replace aging veterans.,"Virgil van Dijk, Frenkie de Jong, Jurriën Timber, Xavi Simons","Jan Paul van Hecke, Quinten Timber, Joshua Zirkzee","Marten de Roon, Luuk de Jong, Daley Blind"
Portugal,4-3-3,3-4-3,World-class roster with abundant youth depth; older defensive figures miss the cut.,"Vitinha, Bruno Fernandes, Rúben Dias, Bernardo Silva, Cristiano Ronaldo","Francisco Trincão, Pote, Tomás Araújo","Raphaël Guerreiro, João Moutinho, Danilo Pereira"
Germany,4-2-3-1,3-4-2-1,Revitalized around young stars. Robust pool of options while legends have retired internationally.,"Joshua Kimmich, Florian Wirtz, Jamal Musiala, Antonio Rüdiger, Kai Havertz","Felix Nmecha, Leon Goretzka, Karim Adeyemi","Thomas Müller, Manuel Neuer, İlkay Gündoğan"
Ecuador,4-3-3,3-5-2,Exciting young generation headlined by Caicedo. MLS and domestic talents serve as likely backups.,"Moisés Caicedo, Willian Pacho, Piero Hincapié, Kendry Páez","Gonzalo Plata, Kevin Mier, Jeremy Sarmiento","Ángel Mena, Pedro Ortiz"
