Team,Pos.,Name,Captain,Status,Age,Caps,Goals,Club,Latest call-up,,Pos.,Player,Name,Captain,Status,Date of birth (age),Age,Caps,Goals,Club,Latest call-up
Mexico,GK,Luis Malagón,,,29,19,0,América,"v.  Iceland, 25 February 2026",Mexico,GK,Luis Malagón,Luis Malagón,,,2 March 1997 (age 29),29,19,0,América,"v.  Iceland, 25 February 2026"
Mexico,GK,Carlos Moreno,,,28,0,0,Pachuca,"v.  South Korea, 9 September 2025",Mexico,GK,Carlos Moreno,Carlos Moreno,,,29 January 1998 (age 28),28,0,0,Pachuca,"v.  South Korea, 9 September 2025"
Mexico,GK,Sebastián Jurado,,,28,0,0,Juárez,Training camp 25–27 August 2025,Mexico,GK,Sebastián Jurado,Sebastián Jurado,,,28 September 1997 (age 28),28,0,0,Juárez,Training camp 25–27 August 2025
Mexico,GK,José Antonio Rodríguez,,,33,2,0,Tijuana,2025 CONCACAF Gold Cup PRE,Mexico,GK,José Antonio Rodríguez,José Antonio Rodríguez,,,4 July 1992 (age 33),33,2,0,Tijuana,2025 CONCACAF Gold Cup PRE
Mexico,GK,Álex Padilla,,,22,0,0,Athletic Bilbao,2025 CONCACAF Gold Cup PRE,Mexico,GK,Álex Padilla,Álex Padilla,,,1 September 2003 (age 22),22,0,0,Athletic Bilbao,2025 CONCACAF Gold Cup PRE
Mexico,GK,Andrés Sánchez,,,28,0,0,Atlético San Luis,2025 CONCACAF Gold Cup PRE,Mexico,GK,Andrés Sánchez,Andrés Sánchez,,,3 October 1997 (age 28),28,0,0,Atlético San Luis,2025 CONCACAF Gold Cup PRE
Mexico,DF,Víctor Guzmán,,,24,6,0,Monterrey,"v.  Iceland, 25 February 2026",Mexico,DF,Víctor Guzmán,Víctor Guzmán,,,7 March 2002 (age 24),24,6,0,Monterrey,"v.  Iceland, 25 February 2026"
Mexico,DF,Diego Campillo,,,24,1,0,Guadalajara,"v.  Iceland, 25 February 2026",Mexico,DF,Diego Campillo,Diego Campillo,,,19 October 2001 (age 24),24,1,0,Guadalajara,"v.  Iceland, 25 February 2026"
Mexico,DF,Jesús Garza,,,25,1,0,UANL,"v.  Iceland, 25 February 2026",Mexico,DF,Jesús Garza,Jesús Garza,,,6 June 2000 (age 25),25,1,0,UANL,"v.  Iceland, 25 February 2026"
Mexico,DF,Bryan González,,,23,2,0,Guadalajara,"v.  Bolivia, 25 January 2026",Mexico,DF,Bryan González,Bryan González,,,10 April 2003 (age 23),23,2,0,Guadalajara,"v.  Bolivia, 25 January 2026"
Mexico,DF,Ramón Juárez,,,24,2,0,América,"v.  Bolivia, 25 January 2026",Mexico,DF,Ramón Juárez,Ramón Juárez,,,3 May 2001 (age 24),24,2,0,América,"v.  Bolivia, 25 January 2026"
Mexico,DF,Eduardo Águila,,,23,1,0,Atlético San Luis,"v.  Bolivia, 25 January 2026",Mexico,DF,Eduardo Águila,Eduardo Águila,,,17 May 2002 (age 23),23,1,0,Atlético San Luis,"v.  Bolivia, 25 January 2026"
Mexico,DF,Kevin Álvarez,,,27,16,1,América,"v.  Paraguay, 18 November 2025",Mexico,DF,Kevin Álvarez,Kevin Álvarez,,,15 January 1999 (age 27),27,16,1,América,"v.  Paraguay, 18 November 2025"
