Team	Pos	Name	Club	Age	Caps	Goals	Captain?																		
Czech Republic	GK	Matěj Kovář	PSV Eindhoven	26	19	0																			
Czech Republic	GK	Jindřich Staněk	Slavia Prague	30	14	0																			
Czech Republic	GK	Lukáš Horníček	Braga	23	1	0																			
Czech Republic	DF	Vladimír Coufal	TSG Hoffenheim	33	61	2																			
Czech Republic	DF	Tomáš Holeš	Slavia Prague	33	40	2																			
Czech Republic	DF	Ladislav Krejčí	Wolverhampton Wanderers	27	26	5	Captain																		
Czech Republic	DF	David Zima	Slavia Prague	25	24	1																			
Czech Republic	DF	Jaroslav Zelený	Sparta Prague	33	22	0																			
Czech Republic	DF	David Jurásek	Slavia Prague	25	17	1																			
Czech Republic	DF	David Douděra	Slavia Prague	28	16	2																			
Czech Republic	DF	Robin Hranáč	TSG Hoffenheim	26	13	1																			
Czech Republic	DF	Štěpán Chaloupek	Slavia Prague	23	4	0																			
Czech Republic	MF	Tomáš Souček	West Ham United	31	89	17																			
Czech Republic	MF	Vladimír Darida	Hradec Králové	35	78	8																			
Czech Republic	MF	Lukáš Provod	Slavia Prague	29	37	3																			
Czech Republic	MF	Michal Sadílek	Slavia Prague	27	34	1																			
Czech Republic	MF	Pavel Šulc	Lyon	25	20	5																			
Czech Republic	MF	Lukáš Červ	Viktoria Plzeň	25	16	2																			
Czech Republic	MF	Hugo Sochůrek	Sparta Prague	18	1	0																			
Czech Republic	MF	Alexandr Sojka	Viktoria Plzeň	23	1	0																			
Czech Republic	MF	Denis Višinský	Viktoria Plzeň	23	1	0																			
Czech Republic	FW	Patrik Schick	Bayer Leverkusen	30	52	25																			
Czech Republic	FW	Adam Hložek	TSG Hoffenheim	23	42	5																			
Czech Republic	FW	Jan Kuchta	Sparta Prague	29	31	3																			
Czech Republic	FW	Mojmír Chytil	Slavia Prague	27	22	6																			
Czech Republic	FW	Tomáš Chorý	Slavia Prague	31	21	6																			
Mexico	GK	Raúl Rangel	Guadalajara	26	13	0																			
